Movement_ID,Movement_Date,Product_ID,Movement_Type,Reference_ID,Quantity,Direction,From_Location_ID,To_Location_ID,Notes,Created_At
STM000011,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD006,SALE,ORD000004,1,OUT,LOC001,,Sale through ORD000004,Sat Aug 15 2026 21:30:57 GMT+0600 (Bangladesh Standard Time)
STM000012,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD006,SALE,ORD000005,1,OUT,LOC001,,Sale through ORD000005,Sat Aug 15 2026 21:39:00 GMT+0600 (Bangladesh Standard Time)
STM000013,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD006,SALE,ORD000006,1,OUT,LOC001,,Sale through ORD000006,Sat Aug 15 2026 21:41:28 GMT+0600 (Bangladesh Standard Time)
STM000014,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD007,SALE,ORD000007,1,OUT,LOC001,,Sale through ORD000007,Sat Aug 15 2026 21:52:59 GMT+0600 (Bangladesh Standard Time)
STM000015,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD003,SALE,ORD000007,1,OUT,LOC001,,Sale through ORD000007,Sat Aug 15 2026 21:52:59 GMT+0600 (Bangladesh Standard Time)
STM000016,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD006,SALE,ORD000008,2,OUT,LOC001,,Sale through ORD000008,Sat Aug 15 2026 21:54:07 GMT+0600 (Bangladesh Standard Time)
STM000017,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD007,SALE,ORD000008,2,OUT,LOC001,,Sale through ORD000008,Sat Aug 15 2026 21:54:07 GMT+0600 (Bangladesh Standard Time)
STM000018,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD014,SALE,ORD000009,0.2,OUT,LOC001,,Sale through ORD000009,Sat Aug 15 2026 21:55:41 GMT+0600 (Bangladesh Standard Time)
STM000019,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD014,RETURN,RET000003,0.2,IN,,LOC001,CUSTOMER_RETURN at Main Warehouse,Sat Aug 15 2026 21:58:42 GMT+0600 (Bangladesh Standard Time)
STM000020,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD006,RETURN,RET000004,1,IN,,LOC001,CUSTOMER_RETURN at Main Warehouse,Sat Aug 15 2026 22:00:28 GMT+0600 (Bangladesh Standard Time)
STM000021,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD006,RETURN,RET000004,1,IN,,LOC001,CUSTOMER_RETURN at Main Warehouse,Sat Aug 15 2026 22:00:28 GMT+0600 (Bangladesh Standard Time)
STM000022,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD006,TRANSFER,TRF000001,5,OUT,LOC001,LOC002,Transfer from Main Warehouse to Sourav,Sat Aug 15 2026 22:09:43 GMT+0600 (Bangladesh Standard Time)
STM000023,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD006,TRANSFER,TRF000001,5,IN,LOC001,LOC002,Transfer from Main Warehouse to Sourav,Sat Aug 15 2026 22:09:43 GMT+0600 (Bangladesh Standard Time)
STM000024,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD007,TRANSFER,TRF000001,5,OUT,LOC001,LOC002,Transfer from Main Warehouse to Sourav,Sat Aug 15 2026 22:09:43 GMT+0600 (Bangladesh Standard Time)
STM000025,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD007,TRANSFER,TRF000001,5,IN,LOC001,LOC002,Transfer from Main Warehouse to Sourav,Sat Aug 15 2026 22:09:43 GMT+0600 (Bangladesh Standard Time)
STM000026,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD012,TRANSFER,TRF000001,5,OUT,LOC001,LOC003,Transfer from Main Warehouse to Jabed,Sat Aug 15 2026 22:10:17 GMT+0600 (Bangladesh Standard Time)
STM000027,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD012,TRANSFER,TRF000001,5,IN,LOC001,LOC003,Transfer from Main Warehouse to Jabed,Sat Aug 15 2026 22:10:17 GMT+0600 (Bangladesh Standard Time)
STM000028,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD022,TRANSFER,TRF000001,5,OUT,LOC001,LOC003,Transfer from Main Warehouse to Jabed,Sat Aug 15 2026 22:10:17 GMT+0600 (Bangladesh Standard Time)
STM000029,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD022,TRANSFER,TRF000001,5,IN,LOC001,LOC003,Transfer from Main Warehouse to Jabed,Sat Aug 15 2026 22:10:17 GMT+0600 (Bangladesh Standard Time)
STM000030,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD006,TRANSFER,TRF000001,5,OUT,LOC001,LOC004,Transfer from Main Warehouse to Fazle,Sat Aug 15 2026 22:10:37 GMT+0600 (Bangladesh Standard Time)
STM000031,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD006,TRANSFER,TRF000001,5,IN,LOC001,LOC004,Transfer from Main Warehouse to Fazle,Sat Aug 15 2026 22:10:37 GMT+0600 (Bangladesh Standard Time)
STM000032,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD007,TRANSFER,TRF000001,5,OUT,LOC001,LOC004,Transfer from Main Warehouse to Fazle,Sat Aug 15 2026 22:10:37 GMT+0600 (Bangladesh Standard Time)
STM000033,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD007,TRANSFER,TRF000001,5,IN,LOC001,LOC004,Transfer from Main Warehouse to Fazle,Sat Aug 15 2026 22:10:37 GMT+0600 (Bangladesh Standard Time)
STM000034,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD006,TRANSFER,TRF000001,5,OUT,LOC001,LOC005,Transfer from Main Warehouse to Mridul,Sat Aug 15 2026 22:11:10 GMT+0600 (Bangladesh Standard Time)
STM000035,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD006,TRANSFER,TRF000001,5,IN,LOC001,LOC005,Transfer from Main Warehouse to Mridul,Sat Aug 15 2026 22:11:10 GMT+0600 (Bangladesh Standard Time)
STM000036,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD007,TRANSFER,TRF000001,5,OUT,LOC001,LOC005,Transfer from Main Warehouse to Mridul,Sat Aug 15 2026 22:11:10 GMT+0600 (Bangladesh Standard Time)
STM000037,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD007,TRANSFER,TRF000001,5,IN,LOC001,LOC005,Transfer from Main Warehouse to Mridul,Sat Aug 15 2026 22:11:10 GMT+0600 (Bangladesh Standard Time)
STM000038,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD005,TRANSFER,TRF000001,2,OUT,LOC001,LOC005,Transfer from Main Warehouse to Mridul,Sat Aug 15 2026 22:11:10 GMT+0600 (Bangladesh Standard Time)
STM000039,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD005,TRANSFER,TRF000001,2,IN,LOC001,LOC005,Transfer from Main Warehouse to Mridul,Sat Aug 15 2026 22:11:10 GMT+0600 (Bangladesh Standard Time)
STM000040,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD004,PURCHASE,PUR000001,2,IN,,LOC001,Purchase through PUR000001,Sat Aug 15 2026 22:12:46 GMT+0600 (Bangladesh Standard Time)
STM000041,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD003,PURCHASE,PUR000001,2,IN,,LOC001,Purchase through PUR000001,Sat Aug 15 2026 22:12:46 GMT+0600 (Bangladesh Standard Time)
STM000042,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD002,PURCHASE,PUR000001,2,IN,,LOC001,Purchase through PUR000001,Sat Aug 15 2026 22:12:46 GMT+0600 (Bangladesh Standard Time)
STM000043,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD001,PURCHASE,PUR000001,2,IN,,LOC001,Purchase through PUR000001,Sat Aug 15 2026 22:12:46 GMT+0600 (Bangladesh Standard Time)
STM000044,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD008,PURCHASE,PUR000002,4,IN,,LOC001,Purchase through PUR000002,Sat Aug 15 2026 22:14:03 GMT+0600 (Bangladesh Standard Time)
STM000045,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD007,TRANSFER,TRF000001,2,OUT,LOC005,LOC001,Transfer from Mridul to Main Warehouse,Sat Aug 15 2026 22:42:28 GMT+0600 (Bangladesh Standard Time)
STM000046,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD007,TRANSFER,TRF000001,2,IN,LOC005,LOC001,Transfer from Mridul to Main Warehouse,Sat Aug 15 2026 22:42:28 GMT+0600 (Bangladesh Standard Time)
STM000047,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD007,TRANSFER,TRF000001,5,OUT,LOC001,LOC005,Transfer from Main Warehouse to Mridul,Sat Aug 15 2026 22:46:08 GMT+0600 (Bangladesh Standard Time)
STM000048,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD007,TRANSFER,TRF000001,5,IN,LOC001,LOC005,Transfer from Main Warehouse to Mridul,Sat Aug 15 2026 22:46:08 GMT+0600 (Bangladesh Standard Time)
STM000049,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD007,ADJUSTMENT,ADJ000001,5,OUT,LOC001,,ADJUSTMENT at Main Warehouse,Sat Aug 15 2026 22:50:47 GMT+0600 (Bangladesh Standard Time)
STM000050,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD008,RETURN,RET000006,2,OUT,LOC001,,SUPPLIER_RETURN at Main Warehouse,Sat Aug 15 2026 23:05:41 GMT+0600 (Bangladesh Standard Time)
STM000051,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD007,ADJUSTMENT,ADJ000002,5,IN,,LOC001,ADJUSTMENT at Main Warehouse,Sat Aug 15 2026 23:07:45 GMT+0600 (Bangladesh Standard Time)
STM000052,Mon Aug 17 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD008,PURCHASE,PUR000003,1,IN,,LOC001,Purchase through PUR000003,Mon Aug 17 2026 21:10:24 GMT+0600 (Bangladesh Standard Time)
STM000053,Mon Aug 17 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD008,PURCHASE,PUR000004,1,IN,,LOC001,Purchase through PUR000004,Mon Aug 17 2026 21:11:46 GMT+0600 (Bangladesh Standard Time)
