Transaction_ID,Transaction_Date,Cash_Account_ID,Direction,Transaction_Type,Reference_ID,Amount,Description,Created_By,Created_At
CTX000013,Sat Aug 15 2026 22:03:13 GMT+0600 (Bangladesh Standard Time),CASH004,IN,PAYMENT,PAY000010,60,Post-sale payment for ORD000003,PTR04,Sat Aug 15 2026 22:03:15 GMT+0600 (Bangladesh Standard Time)
CTX000014,Sat Aug 15 2026 22:03:37 GMT+0600 (Bangladesh Standard Time),CASH004,IN,PAYMENT,PAY000011,60,Post-sale payment for ORD000004,PTR04,Sat Aug 15 2026 22:03:41 GMT+0600 (Bangladesh Standard Time)
CTX000015,Sat Aug 15 2026 22:04:06 GMT+0600 (Bangladesh Standard Time),CASH004,IN,PAYMENT,PAY000012,60,Post-sale payment for ORD000005,PTR04,Sat Aug 15 2026 22:04:08 GMT+0600 (Bangladesh Standard Time)
CTX000016,Sat Aug 15 2026 22:04:33 GMT+0600 (Bangladesh Standard Time),CASH004,IN,PAYMENT,PAY000013,60,Post-sale payment for ORD000006,PTR04,Sat Aug 15 2026 22:04:36 GMT+0600 (Bangladesh Standard Time)
CTX000017,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH004,OUT,CASH_TRANSFER,TRF000001,5000,Transfer to CASH001,Sourav,Sat Aug 15 2026 22:05:49 GMT+0600 (Bangladesh Standard Time)
CTX000018,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH001,IN,CASH_TRANSFER,TRF000001,5000,Transfer from CASH004,Sourav,Sat Aug 15 2026 22:05:49 GMT+0600 (Bangladesh Standard Time)
CTX000019,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH004,OUT,CASH_TRANSFER,TRF000002,2500,Transfer to CASH002,Jabed,Sat Aug 15 2026 22:06:13 GMT+0600 (Bangladesh Standard Time)
CTX000020,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH002,IN,CASH_TRANSFER,TRF000002,2500,Transfer from CASH004,Jabed,Sat Aug 15 2026 22:06:13 GMT+0600 (Bangladesh Standard Time)
CTX000021,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH004,OUT,CASH_TRANSFER,TRF000003,4000,Transfer to CASH003,Fazle,Sat Aug 15 2026 22:06:47 GMT+0600 (Bangladesh Standard Time)
CTX000022,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH003,IN,CASH_TRANSFER,TRF000003,4000,Transfer from CASH004,Fazle,Sat Aug 15 2026 22:06:47 GMT+0600 (Bangladesh Standard Time)
CTX000023,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH001,OUT,EXPENSE,EXP000002,2700,Fazle Room,Sourav,Sat Aug 15 2026 22:09:09 GMT+0600 (Bangladesh Standard Time)
CTX000024,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH004,OUT,PURCHASE,PUR000001,5400,Purchase payment for PUR000001,Sourav,Sat Aug 15 2026 22:12:46 GMT+0600 (Bangladesh Standard Time)
CTX000025,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH002,OUT,PURCHASE,PUR000002,4000,Purchase payment for PUR000002,Jabed,Sat Aug 15 2026 22:14:04 GMT+0600 (Bangladesh Standard Time)
CTX000026,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH003,IN,RETURN,RET000006,2000,Supplier refund for PUR000002,Mridul,Sat Aug 15 2026 23:05:42 GMT+0600 (Bangladesh Standard Time)
CTX000027,Sat Aug 15 2026 18:05:02 GMT+0600 (Bangladesh Standard Time),CASH002,IN,INVESTMENT,CAP000002,20000,INVESTMENT by Jabed,Jabed,Sat Aug 15 2026 23:11:29 GMT+0600 (Bangladesh Standard Time)
CTX000028,Sat Aug 15 2026 18:05:02 GMT+0600 (Bangladesh Standard Time),CASH001,IN,INVESTMENT,CAP000003,20000,INVESTMENT by Sourav,Sourav,Sat Aug 15 2026 23:14:04 GMT+0600 (Bangladesh Standard Time)
CTX000029,Sat Aug 15 2026 23:14:05 GMT+0600 (Bangladesh Standard Time),CASH003,IN,INVESTMENT,CAP000004,20000,INVESTMENT by Fazle,Fazle,Sat Aug 15 2026 23:14:28 GMT+0600 (Bangladesh Standard Time)
CTX000030,Sat Aug 15 2026 23:14:29 GMT+0600 (Bangladesh Standard Time),CASH004,IN,INVESTMENT,CAP000005,20000,INVESTMENT by Mridul,Mridul,Sat Aug 15 2026 23:14:49 GMT+0600 (Bangladesh Standard Time)
CTX000031,Mon Aug 17 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH002,OUT,PURCHASE,PUR000003,1000,Purchase payment for PUR000003,Jabed,Mon Aug 17 2026 21:10:24 GMT+0600 (Bangladesh Standard Time)
CTX000032,Mon Aug 17 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH002,OUT,PURCHASE,PUR000004,1000,Purchase payment for PUR000004,Jabed,Mon Aug 17 2026 21:11:47 GMT+0600 (Bangladesh Standard Time)
