Sheet_Name,Column_Order,Column_Name,Data_Type,Row_Count,Column_Count
Product_Sales,8,Gross_Profit,,17,9
Product_Sales,9,Gross_Margin,,17,9
Stock_Locations,1,Stock_Location_ID,,6,5
Stock_Locations,2,Location_Name,,6,5
Stock_Locations,3,Location_Type,,6,5
Stock_Locations,4,Partner_ID,,6,5
Stock_Locations,5,Active,,6,5
Stock_Movements,1,Movement_ID,,10,11
Stock_Movements,2,Movement_Date,,10,11
Stock_Movements,3,Product_ID,,10,11
Stock_Movements,4,Movement_Type,,10,11
Stock_Movements,5,Reference_ID,,10,11
Stock_Movements,6,Quantity,,10,11
Stock_Movements,7,Direction,,10,11
Stock_Movements,8,From_Location_ID,,10,11
Stock_Movements,9,To_Location_ID,,10,11
Stock_Movements,10,Notes,,10,11
Stock_Movements,11,Created_At,,10,11
Inventory_Summary,1,Product_ID,,36,8
Inventory_Summary,2,Product_Name,,36,8
Inventory_Summary,3,Opening_Stock,,36,8
Inventory_Summary,4,Stock_In,,36,8
Inventory_Summary,5,Stock_Out,,36,8
Inventory_Summary,6,Current_Stock,,36,8
Inventory_Summary,7,Reorder_Level,,36,8
Inventory_Summary,8,Stock_Status,,36,8
Inventory_By_Location,1,Location_ID,,46,12
Inventory_By_Location,2,Location_Name,,46,12
Inventory_By_Location,3,Location_Type,,46,12
Inventory_By_Location,4,Partner_ID,,46,12
Inventory_By_Location,5,Product_ID,,46,12
Inventory_By_Location,6,Product_Name,,46,12
Inventory_By_Location,7,Unit,,46,12
Inventory_By_Location,8,Quantity,,46,12
Inventory_By_Location,9,Cost_Price,,46,12
Inventory_By_Location,10,Stock_Value,,46,12
Inventory_By_Location,11,Reorder_Level,,46,12
Inventory_By_Location,12,Stock_Status,,46,12
Partner_Capital,1,Capital_Transaction_ID,,2,10
Partner_Capital,2,Transaction_Date,,2,10
Partner_Capital,3,Transaction_Type,,2,10
Partner_Capital,4,Partner_ID,,2,10
Partner_Capital,5,Cash_Account_ID,,2,10
Partner_Capital,6,Amount,,2,10
Partner_Capital,7,Reference_ID,,2,10
Partner_Capital,8,Notes,,2,10
Partner_Capital,9,Created_By,,2,10
Partner_Capital,10,Created_At,,2,10
Partner_Capital_Summary,1,Partner_ID,,5,5
Partner_Capital_Summary,2,Partner_Name,,5,5
Partner_Capital_Summary,3,Total_Investment,,5,5
Partner_Capital_Summary,4,Total_Withdrawal,,5,5
Partner_Capital_Summary,5,Net_Capital,,5,5
Cash_Accounts,1,Cash_Account_ID,,5,8
Cash_Accounts,2,Account_Name,,5,8
Cash_Accounts,3,Account_Type,,5,8
Cash_Accounts,4,Owner_ID,,5,8
Cash_Accounts,5,Active,,5,8
Cash_Accounts,6,Total_In,,5,8
Cash_Accounts,7,Total_Out,,5,8
Cash_Accounts,8,Current_Balance,,5,8
Cash_Transactions,1,Transaction_ID,,5,10
Cash_Transactions,2,Transaction_Date,,5,10
Cash_Transactions,3,Cash_Account_ID,,5,10
Cash_Transactions,4,Direction,,5,10
Cash_Transactions,5,Reference_Type,,5,10
Cash_Transactions,6,Reference_ID,,5,10
Cash_Transactions,7,Amount,,5,10
Cash_Transactions,8,Description,,5,10
Cash_Transactions,9,Created_By,,5,10
Cash_Transactions,10,Created_At,,5,10
Payments,1,Payment_ID,,3,10
Payments,2,Payment_Date,,3,10
Payments,3,Order_ID,,3,10
Payments,4,Customer_ID,,3,10
Payments,5,Amount,,3,10
Payments,6,Payment_Method,,3,10
Payments,7,Cash_Account_ID,,3,10
Payments,8,Collected_By,,3,10
Payments,9,Notes,,3,10
Payments,10,Created_At,,3,10
Expenses,1,Expense_ID,,1,11
Expenses,2,Expense_Date,,1,11
Expenses,3,Expense_Category,,1,11
Expenses,4,Description,,1,11
Expenses,5,Amount,,1,11
Expenses,6,Payment_Method,,1,11
Expenses,7,Cash_Account_ID,,1,11
Expenses,8,Paid_By,,1,11
Expenses,9,Reference_ID,,1,11
Expenses,10,Created_By,,1,11
Expenses,11,Created_At,,1,11
Profit_Loss,1,Period,,1,15
Profit_Loss,2,Gross Sales,,1,15
Profit_Loss,3,Customer Returns,,1,15
Profit_Loss,4,Items Discount,,1,15
Profit_Loss,5,Invoice Discount,,1,15
Profit_Loss,6,Delivery Revenue,,1,15
Profit_Loss,7,Net Sales,,1,15
Profit_Loss,8,COGS,,1,15
Profit_Loss,9,Returned COGS,,1,15
Profit_Loss,10,Net COGS,,1,15
Profit_Loss,11,Gross Profit,,1,15
Profit_Loss,12,Operating Expenses,,1,15
Profit_Loss,13,Net Profit,,1,15
Profit_Loss,14,Gross Margin,,1,15
Profit_Loss,15,Net Margin,,1,15
Lists,1,Order_Status,,10,7
Lists,2,Payment_Method,,10,7
Lists,3,Transaction_Type,,10,7
Lists,4,Movement_Type,,10,7
Lists,5,Expense_Category,,10,7
Lists,6,Purchase_Status,,10,7
Lists,7,Transaction_Type,,10,7
